date,StockID,close,变动日,信用等级
2020-01-02 14:43:00,SH113020,128.11,20200608,AA+
2020-01-02 14:43:00,SH113021,114.26,20240513,AAA
2020-01-02 14:43:00,SH113022,119.9,20200514,AAA
2020-01-02 14:43:00,SH113024,107.31,20240620,AAA
2020-01-02 14:43:00,SH113025,116.82,20230619,AA
2020-01-02 14:43:00,SH113026,108.81,20210623,AAA
2020-01-02 14:43:00,SH113027,107.96,20230626,A
2020-01-02 14:43:00,SH113028,123.0,20200609,AAA
2020-01-02 14:43:00,SH113502,99.78,20220531,AA-
2020-01-02 14:43:00,SH113503,138.09,20190606,AA
2020-01-02 14:43:00,SH113504,118.02,20230613,AA
2020-01-02 14:43:00,SH113505,103.76,20230621,AA
2020-01-02 14:43:00,SH113508,109.3,20210617,AA
2020-01-02 14:43:00,SH113509,120.1,20210521,AA
2020-01-02 14:43:00,SH113511,123.0,20190614,AA-
2020-01-02 14:43:00,SH113514,111.08,20200616,A+
2020-01-02 14:43:00,SH113515,117.21,20190605,AA
2020-01-02 14:43:00,SH113516,114.37,20240627,AA+
2020-01-02 14:43:00,SH113518,130.78,20200618,AA
2020-01-02 14:43:00,SH113519,112.31,20240625,AA
2020-01-02 14:43:00,SH113520,154.81,20200618,AA-
2020-01-02 14:43:00,SH113521,125.14,20200623,AA
2020-01-02 14:43:00,SH113524,104.61,20240510,AA-
2020-01-02 14:43:00,SH113525,108.65,20220622,AA
2020-01-02 14:43:00,SH113526,134.43,20240801,AA+
2020-01-02 14:43:00,SH113527,92.69,20240624,AA
2020-01-02 14:43:00,SH113528,102.54,20210521,AA-
2020-01-02 14:43:00,SH113530,113.41,20240621,AA-
2020-01-02 14:43:00,SH113531,126.6,20190624,AA
2020-01-02 14:43:00,SH113532,106.53,20240621,AA+
2020-01-02 14:43:00,SH113534,114.3,20241023,AA-
2020-01-02 14:43:00,SH113535,102.03,20230625,AA-
2020-01-02 14:43:00,SH113536,110.99,20210524,AA
2020-01-02 14:43:00,SH113537,121.82,20240624,AA-
2020-01-02 14:43:00,SH113541,106.83,20220530,AA-
2020-01-02 14:43:00,SH113542,113.4,20250624,AA
2020-01-02 14:43:00,SH113543,127.69,20210617,AA
2020-01-02 14:43:00,SH113544,119.5,20200611,AA
2020-01-02 14:43:00,SH113545,114.76,20250520,AA-
2020-01-02 14:43:00,SH113546,105.34,20240605,A+
2020-01-02 14:43:00,SH113547,124.4,20200623,AA
2020-01-02 14:43:00,SH113548,139.75,20220607,AA-
2020-01-02 14:43:00,SH113549,110.3,20250624,AA
2020-01-02 14:43:00,SH113550,129.2,20210611,AA-
2020-01-02 14:43:00,SH113551,131.62,20200514,AA
2020-01-02 14:43:00,SZ123002,130.495,20230519,AA
2020-01-02 14:43:00,SZ123004,102.27,20230619,AA
2020-01-02 14:43:00,SZ123007,113.0,20210625,AA-
2020-01-02 14:43:00,SZ123010,105.8,20240625,A
2020-01-02 14:43:00,SZ123011,125.8,20240625,AA-
2020-01-02 14:43:00,SZ123012,123.62,20240605,AA-
2020-01-02 14:43:00,SZ123013,103.82,20240429,A+
2020-01-02 14:43:00,SZ123014,111.084,20230621,A+
2020-01-02 14:43:00,SZ123015,114.521,20230606,CC
2020-01-02 14:43:00,SZ123017,145.03,20200521,AA-
2020-01-02 14:43:00,SZ123018,122.152,20240621,AA-
2020-01-02 14:43:00,SZ123020,130.52,20200604,AA-
2020-01-02 14:43:00,SZ123021,122.0,20190624,AA
2020-01-02 14:43:00,SZ123022,180.491,20240614,AA
2020-01-02 14:43:00,SZ123023,102.041,20220624,AA-
2020-01-02 14:43:00,SZ123024,102.521,20210624,A+
2020-01-02 14:43:00,SZ123025,125.389,20240620,AA-
2020-01-02 14:43:00,SZ123026,110.603,20200618,AA-
2020-01-02 14:43:00,SZ123027,127.261,20220621,A+
2020-01-02 14:43:00,SZ123028,104.569,20210622,A+
2020-01-02 14:43:00,SZ123029,118.602,20250623,AA
2020-01-02 14:43:00,SZ123030,109.384,20210624,AA-
2020-01-02 14:43:00,SZ123031,162.5,20250606,A+
2020-01-02 14:43:00,SZ123032,102.306,20200616,A+
2020-01-02 14:43:00,SZ123033,111.541,20210514,AA-
2020-01-02 14:43:00,SZ123034,106.733,20250619,A+
2020-01-02 14:43:00,SZ123035,129.81,20240607,AA+
2020-01-02 14:43:00,SZ127003,104.457,20220225,AA-
2020-01-02 14:43:00,SZ127004,96.093,20230103,AA-
2020-01-02 14:43:00,SZ127005,122.452,20230620,AAA
2020-01-02 14:43:00,SZ127006,111.657,20230606,AA+
2020-01-02 14:43:00,SZ127007,114.9,20230619,AA+
2020-01-02 14:43:00,SZ127008,201.9,20200622,AA
2020-01-02 14:43:00,SZ127011,113.203,20210628,AA+
2020-01-02 14:43:00,SZ127012,116.3,20230524,AAA
2020-01-02 14:43:00,SZ127013,123.4,20220518,AA
2020-01-02 14:43:00,SZ127014,117.301,20240528,AA+
2020-01-02 14:43:00,SZ128010,105.62,20200427,AA
2020-01-02 14:43:00,SZ128012,99.527,20200624,A
2020-01-02 14:43:00,SZ128013,97.398,20220628,CCC
2020-01-02 14:43:00,SZ128014,100.303,20220624,AA-
2020-01-02 14:43:00,SZ128015,98.88,20220620,A
2020-01-02 14:43:00,SZ128016,131.602,20190424,AA+
2020-01-02 14:43:00,SZ128017,125.7,20230620,AA
2020-01-02 14:43:00,SZ128018,99.555,20210623,AA
2020-01-02 14:43:00,SZ128019,128.597,20200525,AA
2020-01-02 14:43:00,SZ128021,114.03,20230526,AA
2020-01-02 14:43:00,SZ128022,105.699,20220615,BBB
2020-01-02 14:43:00,SZ128023,94.493,20230615,AA
2020-01-02 14:43:00,SZ128025,111.884,20230621,AA-
2020-01-02 14:43:00,SZ128026,93.174,20230518,AA-
2020-01-02 14:43:00,SZ128028,120.651,20200616,AA
2020-01-02 14:43:00,SZ128029,131.369,20220614,AA+
2020-01-02 14:43:00,SZ128030,162.69,20230628,AA
2020-01-02 14:43:00,SZ128032,102.4,20210526,AA
2020-01-02 14:43:00,SZ128033,104.88,20230427,AA
2020-01-02 14:43:00,SZ128034,115.2,20230525,AA+
2020-01-02 14:43:00,SZ128035,116.8,20230609,AA+
2020-01-02 14:43:00,SZ128036,109.804,20240131,A-
